material,radius_nm,epsilon_r,crystal_structure,band_gap_eV,Eg_bulk_eV,me_eff,mh_eff
GaN,7.587,9.029,WZ,3.3743,3.4,0.2,0.8
ZnSe,5.335,9.127,ZB,2.745,2.7,0.16,0.6
CsPbBr3,6.777,24.91,Perovskite,2.3542,2.3,0.15,0.2
PbSe,4.572,23.343,Rocksalt,0.838,0.28,0.07,0.07
ZnO,2.027,8.254,WZ,3.765,3.37,0.24,0.59
ZnSe,7.146,9.033,ZB,2.729,2.7,0.16,0.6
TiO2,4.668,84.104,Rutile,3.0627,3.05,1.0,1.0
CsPbBr3,3.505,24.386,Perovskite,2.6504,2.3,0.15,0.2
PbS,5.9,17.142,Rocksalt,0.6818,0.41,0.09,0.08
PbS,6.199,17.614,Rocksalt,0.6184,0.41,0.09,0.08
PbS,3.823,17.244,Rocksalt,1.0287,0.41,0.09,0.08
CsPbI3,6.552,30.794,Perovskite,1.7929,1.73,0.12,0.18
TiO2,2.582,88.967,Rutile,3.1234,3.05,1.0,1.0
CsPbI3,7.842,30.288,Perovskite,1.8772,1.73,0.12,0.18
CdS,5.819,8.761,WZ,2.4574,2.42,0.2,0.6
ZnO,6.77,8.017,WZ,3.3236,3.37,0.24,0.59
ZnSe,1.82,9.067,ZB,3.4125,2.7,0.16,0.6
PbS,6.313,17.3,Rocksalt,0.7172,0.41,0.09,0.08
ZnSe,6.892,9.335,ZB,2.7971,2.7,0.16,0.6
GaAs,7.857,12.687,ZB,1.5294,1.42,0.067,0.5
ZnSe,2.069,8.984,ZB,3.3068,2.7,0.16,0.6
PbSe,5.822,23.208,Rocksalt,0.521,0.28,0.07,0.07
GaN,3.422,9.011,WZ,3.5115,3.4,0.2,0.8
GaN,6.863,9.017,WZ,3.5017,3.4,0.2,0.8
CsPbBr3,6.605,25.133,Perovskite,2.4256,2.3,0.15,0.2
PbSe,6.38,22.763,Rocksalt,0.5066,0.28,0.07,0.07
ZnSe,5.708,8.587,ZB,2.7596,2.7,0.16,0.6
TiO2,4.718,86.7,Rutile,3.1133,3.05,1.0,1.0
CsPbBr3,2.33,24.317,Perovskite,3.0149,2.3,0.15,0.2
InP,1.825,12.241,ZB,2.8076,1.34,0.08,0.6
PbSe,6.859,22.99,Rocksalt,0.4438,0.28,0.07,0.07
TiO2,2.793,84.638,Rutile,3.0986,3.05,1.0,1.0
ZnS,6.216,8.216,WZ,3.7122,3.7,0.28,0.59
PbS,2.789,17.304,Rocksalt,1.5482,0.41,0.09,0.08
CsPbBr3,4.409,24.744,Perovskite,2.5713,2.3,0.15,0.2
ZnO,2.881,8.11,WZ,3.51,3.37,0.24,0.59
CdS,1.996,9.106,WZ,2.9058,2.42,0.2,0.6
ZnS,7.485,8.675,WZ,3.7041,3.7,0.28,0.59
PbS,6.256,16.164,Rocksalt,0.5842,0.41,0.09,0.08
CsPbI3,6.1,29.083,Perovskite,1.8934,1.73,0.12,0.18
ZnS,7.955,8.109,WZ,3.7356,3.7,0.28,0.59
CdS,6.189,9.056,WZ,2.5144,2.42,0.2,0.6
ZnSe,5.94,9.035,ZB,2.7917,2.7,0.16,0.6
PbS,7.123,16.878,Rocksalt,0.5264,0.41,0.09,0.08
CsPbI3,4.971,29.48,Perovskite,1.909,1.73,0.12,0.18
InP,7.351,12.669,ZB,1.4212,1.34,0.08,0.6
CsPbI3,5.609,29.429,Perovskite,1.8701,1.73,0.12,0.18
PbSe,3.101,23.047,Rocksalt,1.3017,0.28,0.07,0.07
PbSe,3.016,23.104,Rocksalt,1.3881,0.28,0.07,0.07
ZnO,3.311,7.886,WZ,3.4508,3.37,0.24,0.59
CdSe,6.701,9.463,ZB,1.8181,1.74,0.13,0.45
CsPbBr3,6.852,24.499,Perovskite,2.4507,2.3,0.15,0.2
CdSe,3.965,9.388,ZB,1.9028,1.74,0.13,0.45
PbSe,6.661,23.288,Rocksalt,0.4769,0.28,0.07,0.07
ZnS,3.608,8.463,WZ,3.7171,3.7,0.28,0.59
InAs,4.575,14.727,ZB,1.0306,0.36,0.026,0.41
GaAs,6.798,12.762,ZB,1.5082,1.42,0.067,0.5
CsPbBr3,4.061,24.969,Perovskite,2.537,2.3,0.15,0.2
ZnO,2.821,8.003,WZ,3.6197,3.37,0.24,0.59
GaN,6.05,9.006,WZ,3.3867,3.4,0.2,0.8
CdS,1.925,8.908,WZ,2.9358,2.42,0.2,0.6
ZnS,5.107,8.066,WZ,3.7472,3.7,0.28,0.59
PbSe,6.83,23.102,Rocksalt,0.5418,0.28,0.07,0.07
CsPbI3,7.871,30.205,Perovskite,1.7968,1.73,0.12,0.18
PbSe,2.797,23.611,Rocksalt,1.5762,0.28,0.07,0.07
InAs,6.432,15.077,ZB,0.7092,0.36,0.026,0.41
TiO2,2.888,84.844,Rutile,3.2207,3.05,1.0,1.0
InAs,4.231,14.817,ZB,1.1603,0.36,0.026,0.41
PbS,3.418,17.269,Rocksalt,1.1066,0.41,0.09,0.08
ZnSe,6.841,8.925,ZB,2.6655,2.7,0.16,0.6
PbS,5.807,17.06,Rocksalt,0.6259,0.41,0.09,0.08
TiO2,3.892,85.29,Rutile,3.0456,3.05,1.0,1.0
PbS,1.92,17.212,Rocksalt,2.7465,0.41,0.09,0.08
CsPbI3,6.919,29.957,Perovskite,1.8553,1.73,0.12,0.18
InAs,3.587,14.413,ZB,1.527,0.36,0.026,0.41
CsPbBr3,7.84,24.852,Perovskite,2.3147,2.3,0.15,0.2
GaN,5.694,8.901,WZ,3.4511,3.4,0.2,0.8
CsPbBr3,3.182,24.841,Perovskite,2.7866,2.3,0.15,0.2
CdSe,6.912,9.569,ZB,1.6937,1.74,0.13,0.45
ZnS,2.347,8.17,WZ,3.9313,3.7,0.28,0.59
PbS,7.296,16.817,Rocksalt,0.576,0.41,0.09,0.08
PbS,7.437,17.262,Rocksalt,0.525,0.41,0.09,0.08
GaAs,1.826,13.128,ZB,3.2689,1.42,0.067,0.5
ZnSe,4.29,9.177,ZB,2.8118,2.7,0.16,0.6
GaN,6.28,9.04,WZ,3.3775,3.4,0.2,0.8
PbSe,6.867,23.244,Rocksalt,0.4891,0.28,0.07,0.07
ZnS,7.464,8.447,WZ,3.6333,3.7,0.28,0.59
PbSe,7.912,23.568,Rocksalt,0.477,0.28,0.07,0.07
CsPbBr3,4.371,24.835,Perovskite,2.5034,2.3,0.15,0.2
ZnO,5.023,8.004,WZ,3.3241,3.37,0.24,0.59
PbS,2.41,17.471,Rocksalt,1.875,0.41,0.09,0.08
PbS,2.698,17.075,Rocksalt,1.6356,0.41,0.09,0.08
CsPbBr3,6.927,24.499,Perovskite,2.3902,2.3,0.15,0.2
ZnS,3.178,8.301,WZ,3.7718,3.7,0.28,0.59
ZnO,5.804,8.021,WZ,3.4469,3.37,0.24,0.59
GaAs,4.615,12.95,ZB,1.6804,1.42,0.067,0.5
PbSe,5.514,23.556,Rocksalt,0.5822,0.28,0.07,0.07
GaAs,4.826,13.048,ZB,1.6945,1.42,0.067,0.5
ZnSe,7.667,9.178,ZB,2.7221,2.7,0.16,0.6
ZnS,7.492,8.244,WZ,3.6413,3.7,0.28,0.59
TiO2,4.794,87.748,Rutile,3.0822,3.05,1.0,1.0
CdS,1.735,8.831,WZ,3.011,2.42,0.2,0.6
ZnS,1.963,8.211,WZ,4.0199,3.7,0.28,0.59
InP,5.668,12.417,ZB,1.4448,1.34,0.08,0.6
GaN,6.58,8.606,WZ,3.395,3.4,0.2,0.8
PbSe,3.971,22.471,Rocksalt,0.8829,0.28,0.07,0.07
ZnSe,2.867,8.871,ZB,2.9324,2.7,0.16,0.6
CdS,3.588,9.179,WZ,2.5746,2.42,0.2,0.6
GaN,7.667,9.206,WZ,3.372,3.4,0.2,0.8
GaAs,7.61,12.905,ZB,1.4998,1.42,0.067,0.5
InAs,2.425,14.341,ZB,2.9267,0.36,0.026,0.41
InAs,5.943,15.212,ZB,0.7977,0.36,0.026,0.41
PbS,7.469,17.225,Rocksalt,0.4878,0.41,0.09,0.08
ZnS,6.882,8.278,WZ,3.6808,3.7,0.28,0.59
ZnSe,4.463,9.144,ZB,2.7973,2.7,0.16,0.6
InP,2.779,12.623,ZB,1.9755,1.34,0.08,0.6
PbS,2.389,17.263,Rocksalt,1.8397,0.41,0.09,0.08
InP,7.763,11.999,ZB,1.4143,1.34,0.08,0.6
PbS,7.996,16.686,Rocksalt,0.5366,0.41,0.09,0.08
CsPbBr3,7.63,24.361,Perovskite,2.3328,2.3,0.15,0.2
ZnS,5.28,8.471,WZ,3.7215,3.7,0.28,0.59
PbS,6.182,16.87,Rocksalt,0.6539,0.41,0.09,0.08
TiO2,1.679,85.295,Rutile,3.2855,3.05,1.0,1.0
ZnO,6.874,7.864,WZ,3.3273,3.37,0.24,0.59
InP,7.611,12.553,ZB,1.4296,1.34,0.08,0.6
CsPbBr3,5.694,25.062,Perovskite,2.411,2.3,0.15,0.2
ZnO,3.659,7.859,WZ,3.4475,3.37,0.24,0.59
CsPbBr3,5.479,24.974,Perovskite,2.4046,2.3,0.15,0.2
ZnO,4.409,7.963,WZ,3.4632,3.37,0.24,0.59
GaN,5.246,9.188,WZ,3.412,3.4,0.2,0.8
CsPbI3,3.009,29.607,Perovskite,2.1829,1.73,0.12,0.18
ZnO,7.94,7.983,WZ,3.2579,3.37,0.24,0.59
InAs,6.31,14.388,ZB,0.7162,0.36,0.026,0.41
PbS,7.611,16.121,Rocksalt,0.5119,0.41,0.09,0.08
PbSe,6.26,22.52,Rocksalt,0.5219,0.28,0.07,0.07
ZnS,6.218,8.417,WZ,3.6957,3.7,0.28,0.59
InP,5.492,12.373,ZB,1.5555,1.34,0.08,0.6
CsPbBr3,6.96,25.516,Perovskite,2.4384,2.3,0.15,0.2
GaN,7.965,8.638,WZ,3.3978,3.4,0.2,0.8
InP,3.602,12.927,ZB,1.7176,1.34,0.08,0.6
TiO2,7.853,85.114,Rutile,3.0623,3.05,1.0,1.0
GaAs,2.877,13.064,ZB,2.0785,1.42,0.067,0.5
PbS,7.973,16.835,Rocksalt,0.485,0.41,0.09,0.08
CsPbBr3,6.313,24.652,Perovskite,2.4176,2.3,0.15,0.2
GaN,2.724,8.903,WZ,3.6013,3.4,0.2,0.8
InAs,3.719,14.724,ZB,1.4403,0.36,0.026,0.41
InAs,2.193,14.664,ZB,3.5237,0.36,0.026,0.41
GaN,4.781,9.32,WZ,3.4574,3.4,0.2,0.8
GaN,7.594,8.847,WZ,3.3973,3.4,0.2,0.8
InP,2.353,12.412,ZB,2.2049,1.34,0.08,0.6
CsPbI3,3.599,30.391,Perovskite,2.0448,1.73,0.12,0.18
TiO2,6.098,87.117,Rutile,3.0793,3.05,1.0,1.0
PbSe,3.532,23.324,Rocksalt,1.0965,0.28,0.07,0.07
GaAs,2.844,13.047,ZB,2.2074,1.42,0.067,0.5
ZnO,1.618,7.931,WZ,4.0148,3.37,0.24,0.59
CsPbI3,3.752,29.173,Perovskite,2.0635,1.73,0.12,0.18
CsPbI3,6.713,28.744,Perovskite,1.8056,1.73,0.12,0.18
CsPbBr3,6.754,24.331,Perovskite,2.4396,2.3,0.15,0.2
TiO2,6.601,84.7,Rutile,3.0745,3.05,1.0,1.0
TiO2,7.366,85.979,Rutile,3.0834,3.05,1.0,1.0
CdS,1.899,9.095,WZ,2.9145,2.42,0.2,0.6
InP,6.239,12.778,ZB,1.5235,1.34,0.08,0.6
ZnSe,6.435,9.094,ZB,2.7242,2.7,0.16,0.6
ZnO,2.116,7.786,WZ,3.7376,3.37,0.24,0.59
CdSe,2.884,9.537,ZB,2.0976,1.74,0.13,0.45
ZnO,3.018,7.951,WZ,3.5131,3.37,0.24,0.59
ZnSe,7.106,9.0,ZB,2.7278,2.7,0.16,0.6
TiO2,4.781,87.221,Rutile,3.0141,3.05,1.0,1.0
TiO2,6.968,87.372,Rutile,3.1333,3.05,1.0,1.0
CsPbI3,3.421,30.067,Perovskite,2.1009,1.73,0.12,0.18
CdS,5.938,9.172,WZ,2.4213,2.42,0.2,0.6
TiO2,6.605,87.811,Rutile,3.0681,3.05,1.0,1.0
InP,6.339,12.415,ZB,1.3473,1.34,0.08,0.6
TiO2,3.319,84.861,Rutile,3.1439,3.05,1.0,1.0
PbSe,3.471,22.544,Rocksalt,1.1318,0.28,0.07,0.07
TiO2,5.04,83.559,Rutile,3.047,3.05,1.0,1.0
CsPbBr3,4.938,25.358,Perovskite,2.4794,2.3,0.15,0.2
InP,3.382,12.551,ZB,1.7166,1.34,0.08,0.6
GaN,5.776,8.955,WZ,3.3476,3.4,0.2,0.8
GaN,2.13,8.999,WZ,3.7797,3.4,0.2,0.8
TiO2,3.232,86.836,Rutile,3.0641,3.05,1.0,1.0
InP,2.959,12.141,ZB,1.9027,1.34,0.08,0.6
CdSe,3.521,9.627,ZB,2.0218,1.74,0.13,0.45
CsPbBr3,7.323,25.336,Perovskite,2.4399,2.3,0.15,0.2
ZnO,3.511,8.066,WZ,3.4273,3.37,0.24,0.59
CdS,7.605,9.063,WZ,2.4525,2.42,0.2,0.6
TiO2,1.751,81.91,Rutile,3.3042,3.05,1.0,1.0
PbS,2.234,17.361,Rocksalt,2.136,0.41,0.09,0.08
ZnO,7.131,7.982,WZ,3.4241,3.37,0.24,0.59
CdSe,5.063,9.349,ZB,1.8056,1.74,0.13,0.45
CdSe,1.675,9.485,ZB,2.9064,1.74,0.13,0.45
InP,2.096,12.584,ZB,2.428,1.34,0.08,0.6
ZnS,2.99,8.236,WZ,3.8044,3.7,0.28,0.59
CdSe,7.47,9.927,ZB,1.7386,1.74,0.13,0.45
CsPbI3,5.661,29.286,Perovskite,1.8798,1.73,0.12,0.18
InP,3.355,12.408,ZB,1.7994,1.34,0.08,0.6
PbSe,6.724,22.687,Rocksalt,0.5194,0.28,0.07,0.07
GaN,5.113,9.441,WZ,3.4881,3.4,0.2,0.8
InAs,2.029,14.457,ZB,3.9373,0.36,0.026,0.41
PbS,3.694,17.96,Rocksalt,0.9931,0.41,0.09,0.08
GaN,7.167,9.091,WZ,3.3822,3.4,0.2,0.8
TiO2,5.351,85.152,Rutile,3.0396,3.05,1.0,1.0
PbSe,6.064,23.347,Rocksalt,0.58,0.28,0.07,0.07
ZnS,1.808,8.023,WZ,4.1116,3.7,0.28,0.59
CdS,6.977,8.727,WZ,2.3632,2.42,0.2,0.6
PbSe,7.529,23.222,Rocksalt,0.4261,0.28,0.07,0.07
ZnS,2.732,8.365,WZ,3.8369,3.7,0.28,0.59
CsPbI3,2.016,30.083,Perovskite,2.942,1.73,0.12,0.18
ZnO,7.782,7.814,WZ,3.3442,3.37,0.24,0.59
CdS,5.464,8.972,WZ,2.4115,2.42,0.2,0.6
CdSe,4.829,9.43,ZB,1.8329,1.74,0.13,0.45
ZnSe,6.363,9.352,ZB,2.7628,2.7,0.16,0.6
CdSe,3.313,9.644,ZB,1.9648,1.74,0.13,0.45
PbSe,6.974,22.671,Rocksalt,0.4948,0.28,0.07,0.07
GaN,2.787,9.025,WZ,3.6137,3.4,0.2,0.8
ZnSe,7.29,8.824,ZB,2.7372,2.7,0.16,0.6
InP,5.993,12.293,ZB,1.3873,1.34,0.08,0.6
CdS,5.929,9.053,WZ,2.4628,2.42,0.2,0.6
GaAs,2.571,12.433,ZB,2.2927,1.42,0.067,0.5
InAs,2.603,15.122,ZB,2.5275,0.36,0.026,0.41
InAs,2.986,14.152,ZB,1.9935,0.36,0.026,0.41
PbSe,6.845,22.95,Rocksalt,0.57,0.28,0.07,0.07
PbSe,4.369,22.581,Rocksalt,0.8752,0.28,0.07,0.07
CsPbI3,4.046,31.123,Perovskite,1.9747,1.73,0.12,0.18
InAs,2.493,14.306,ZB,2.7435,0.36,0.026,0.41
InP,2.446,12.119,ZB,2.1843,1.34,0.08,0.6
ZnSe,3.763,9.088,ZB,2.8329,2.7,0.16,0.6
TiO2,1.942,83.642,Rutile,3.1933,3.05,1.0,1.0
PbS,7.793,16.955,Rocksalt,0.5491,0.41,0.09,0.08
PbSe,4.439,22.208,Rocksalt,0.7813,0.28,0.07,0.07
ZnS,4.02,8.349,WZ,3.7334,3.7,0.28,0.59
TiO2,5.922,85.829,Rutile,3.1239,3.05,1.0,1.0
GaN,7.749,9.008,WZ,3.3614,3.4,0.2,0.8
CdSe,7.342,9.272,ZB,1.7741,1.74,0.13,0.45
CsPbI3,7.269,30.823,Perovskite,1.7957,1.73,0.12,0.18
TiO2,2.67,84.652,Rutile,3.1576,3.05,1.0,1.0
CdS,7.445,8.928,WZ,2.4281,2.42,0.2,0.6
InP,7.539,12.272,ZB,1.3715,1.34,0.08,0.6
CdSe,6.029,9.337,ZB,1.8354,1.74,0.13,0.45
ZnO,5.597,7.794,WZ,3.4084,3.37,0.24,0.59
PbS,1.873,16.495,Rocksalt,2.8097,0.41,0.09,0.08
PbSe,5.311,23.326,Rocksalt,0.7126,0.28,0.07,0.07
GaN,7.484,8.945,WZ,3.4336,3.4,0.2,0.8
CdS,5.229,8.889,WZ,2.4592,2.42,0.2,0.6
GaAs,6.938,12.713,ZB,1.4942,1.42,0.067,0.5
TiO2,6.462,88.115,Rutile,3.1133,3.05,1.0,1.0
GaAs,1.69,12.546,ZB,3.5388,1.42,0.067,0.5
InP,4.021,12.804,ZB,1.6293,1.34,0.08,0.6
CdSe,4.448,9.631,ZB,1.8548,1.74,0.13,0.45
GaAs,1.652,13.068,ZB,3.6281,1.42,0.067,0.5
CsPbBr3,5.303,24.784,Perovskite,2.4201,2.3,0.15,0.2
GaN,1.638,8.852,WZ,4.0318,3.4,0.2,0.8
InAs,2.534,14.32,ZB,2.6652,0.36,0.026,0.41
ZnSe,4.463,8.91,ZB,2.8085,2.7,0.16,0.6
CsPbI3,6.702,28.961,Perovskite,1.8373,1.73,0.12,0.18
CsPbBr3,2.405,24.559,Perovskite,3.0427,2.3,0.15,0.2
PbSe,6.368,23.69,Rocksalt,0.5015,0.28,0.07,0.07
CsPbI3,7.63,29.667,Perovskite,1.7902,1.73,0.12,0.18
ZnO,2.82,8.24,WZ,3.5275,3.37,0.24,0.59
InP,6.07,12.506,ZB,1.3783,1.34,0.08,0.6
TiO2,1.712,86.283,Rutile,3.2925,3.05,1.0,1.0
TiO2,5.835,87.776,Rutile,3.0807,3.05,1.0,1.0
ZnSe,3.308,9.143,ZB,2.824,2.7,0.16,0.6
PbSe,6.059,22.733,Rocksalt,0.5377,0.28,0.07,0.07
ZnO,2.045,7.999,WZ,3.6949,3.37,0.24,0.59
CdS,2.899,8.524,WZ,2.6238,2.42,0.2,0.6
PbSe,1.742,23.129,Rocksalt,3.7791,0.28,0.07,0.07
TiO2,3.991,88.13,Rutile,3.0704,3.05,1.0,1.0
InAs,2.433,14.332,ZB,2.8358,0.36,0.026,0.41
CdSe,2.625,9.627,ZB,2.1648,1.74,0.13,0.45
GaAs,3.593,13.104,ZB,1.8875,1.42,0.067,0.5
PbSe,2.458,22.217,Rocksalt,2.0151,0.28,0.07,0.07
ZnSe,4.823,9.083,ZB,2.7239,2.7,0.16,0.6
InAs,2.443,14.546,ZB,2.7932,0.36,0.026,0.41
ZnSe,4.761,8.639,ZB,2.7834,2.7,0.16,0.6
GaN,3.705,8.97,WZ,3.5107,3.4,0.2,0.8
PbS,7.666,17.145,Rocksalt,0.5131,0.41,0.09,0.08
PbSe,7.65,23.037,Rocksalt,0.5429,0.28,0.07,0.07
GaAs,2.944,12.651,ZB,2.1482,1.42,0.067,0.5
GaAs,7.049,13.052,ZB,1.6108,1.42,0.067,0.5
CsPbI3,5.432,29.466,Perovskite,1.9223,1.73,0.12,0.18
ZnS,4.456,8.099,WZ,3.6907,3.7,0.28,0.59
CsPbI3,6.639,29.172,Perovskite,1.8037,1.73,0.12,0.18
CdS,5.046,8.92,WZ,2.4695,2.42,0.2,0.6
GaN,1.792,8.591,WZ,3.9341,3.4,0.2,0.8
CdS,1.729,8.664,WZ,3.1541,2.42,0.2,0.6
PbSe,6.377,22.918,Rocksalt,0.4383,0.28,0.07,0.07
GaAs,1.949,12.687,ZB,3.0054,1.42,0.067,0.5
InP,2.512,12.469,ZB,2.0625,1.34,0.08,0.6
PbSe,6.339,22.392,Rocksalt,0.5338,0.28,0.07,0.07
ZnS,6.161,8.221,WZ,3.7216,3.7,0.28,0.59
CsPbBr3,2.135,25.113,Perovskite,3.2541,2.3,0.15,0.2
CdSe,2.978,9.624,ZB,2.069,1.74,0.13,0.45
CdS,5.62,8.642,WZ,2.4276,2.42,0.2,0.6
ZnS,4.287,8.293,WZ,3.7431,3.7,0.28,0.59
InAs,4.402,14.355,ZB,1.1439,0.36,0.026,0.41
PbS,1.897,16.421,Rocksalt,2.8043,0.41,0.09,0.08
ZnS,6.449,8.144,WZ,3.664,3.7,0.28,0.59
B,4.882795714285714,19.525402857142858,ZB,,,,
P,4.882795714285714,19.525402857142858,ZB,,,,
Mn,4.882795714285714,19.525402857142858,ZB,,,,
Cu,4.882795714285714,19.525402857142858,ZB,,,,
Zn,4.882795714285714,19.525402857142858,ZB,,,,
Al,4.882795714285714,19.525402857142858,ZB,,,,
Ga,4.882795714285714,19.525402857142858,ZB,,,,
Na,4.882795714285714,19.525402857142858,ZB,,,,
K,4.882795714285714,19.525402857142858,ZB,,,,
Li,4.882795714285714,19.525402857142858,ZB,,,,
Cl,4.882795714285714,19.525402857142858,ZB,,,,
Br,4.882795714285714,19.525402857142858,ZB,,,,
I,4.882795714285714,19.525402857142858,ZB,,,,
